,City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
256,Toronto,685000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
257,Toronto,1029000.0,4,4,ON,5647656,43.7417,-79.3733,97000.0
258,Toronto,1250000.0,6,2,ON,5647656,43.7417,-79.3733,97000.0
259,Toronto,509990.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
260,Toronto,928000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
261,Toronto,799900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
262,Toronto,2080000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
263,Toronto,1050000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
264,Toronto,915900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
265,Toronto,1650000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0
266,Toronto,499800.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
267,Toronto,1199900.0,3,3,ON,5647656,43.7417,-79.3733,97000.0
268,Toronto,849000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
269,Toronto,718000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
270,Toronto,818000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
271,Toronto,685000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
272,Toronto,1039000.0,2,3,ON,5647656,43.7417,-79.3733,97000.0
273,Toronto,738000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
274,Toronto,799000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
275,Toronto,929000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
276,Toronto,1090000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0
277,Toronto,979000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0
278,Toronto,1099000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
279,Toronto,948800.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
280,Toronto,2379000.0,6,7,ON,5647656,43.7417,-79.3733,97000.0
281,Toronto,839999.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
282,Toronto,1795000.0,3,1,ON,5647656,43.7417,-79.3733,97000.0
283,Toronto,739000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
284,Toronto,839999.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
285,Toronto,649800.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
286,Toronto,549000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
287,Toronto,1149900.0,2,3,ON,5647656,43.7417,-79.3733,97000.0
288,Toronto,12750000.0,4,7,ON,5647656,43.7417,-79.3733,97000.0
289,Toronto,699800.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
290,Toronto,3798000.0,5,5,ON,5647656,43.7417,-79.3733,97000.0
291,Toronto,699900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
292,Toronto,1250000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
293,Toronto,1449000.0,5,4,ON,5647656,43.7417,-79.3733,97000.0
294,Toronto,519888.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
295,Toronto,1189000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
296,Toronto,618900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
297,Toronto,565000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
298,Toronto,545000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
299,Toronto,1345000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0
300,Toronto,1999000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0
301,Toronto,1100000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
302,Toronto,2199888.0,6,4,ON,5647656,43.7417,-79.3733,97000.0
303,Toronto,899000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
304,Toronto,749000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
305,Toronto,2229000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0
306,Toronto,689000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
307,Toronto,1138000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
308,Toronto,999000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
309,Toronto,725000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
310,Toronto,1100000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
311,Toronto,609999.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
312,Toronto,599000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
313,Toronto,1060000.0,7,5,ON,5647656,43.7417,-79.3733,97000.0
314,Toronto,598000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
315,Toronto,588000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
316,Toronto,999000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
317,Toronto,5999999.0,5,5,ON,5647656,43.7417,-79.3733,97000.0
318,Toronto,1800000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
319,Toronto,899000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
320,Toronto,659900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
321,Toronto,1000000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
322,Toronto,1094000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
323,Toronto,1250000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0
324,Toronto,1300000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
325,Toronto,698000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
326,Toronto,1649000.0,2,3,ON,5647656,43.7417,-79.3733,97000.0
327,Toronto,1079000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
328,Toronto,2149000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
329,Toronto,932900.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
330,Toronto,680000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
331,Toronto,649000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
332,Toronto,2399000.0,3,4,ON,5647656,43.7417,-79.3733,97000.0
333,Toronto,569900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
334,Toronto,678000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
335,Toronto,1899000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
336,Toronto,729000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
337,Toronto,3349000.0,5,5,ON,5647656,43.7417,-79.3733,97000.0
338,Toronto,749000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
339,Toronto,1275000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
340,Toronto,8688000.0,6,7,ON,5647656,43.7417,-79.3733,97000.0
341,Toronto,619000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
342,Toronto,524999.0,3,1,ON,5647656,43.7417,-79.3733,97000.0
343,Toronto,599999.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
344,Toronto,1595900.0,2,3,ON,5647656,43.7417,-79.3733,97000.0
345,Toronto,1975000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
346,Toronto,1399000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
347,Toronto,1099000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0
348,Toronto,559900.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
